# Dataset: Wind tunnel HEPA + prefilter test

# Columns:
# time      — elapsed time since test start [s]
# dp1       — differential pressure across HEPA filter [Pa]
# dp2       — differential pressure across prefilter [Pa]
# velocity  — face velocity at the filters [m/s]

time,dp1,dp2,velocity
438,38.1,134.1,0.253
440,38.1,134.5,0.243
442,38.0,134.8,0.244
444,38.0,135.6,0.251
446,37.9,135.8,0.239
448,37.9,136.6,0.250
450,37.9,136.7,0.211
452,37.7,137.0,0.223
454,37.7,137.8,0.221
456,37.6,138.4,0.226
458,37.6,139.3,0.231
460,37.5,139.7,0.231
462,37.5,139.9,0.200
464,37.4,140.1,0.182
466,37.3,141.0,0.224
468,37.2,141.0,0.203
470,37.1,141.4,0.182
472,37.1,142.4,0.200
474,36.9,142.5,0.163
476,36.8,143.4,0.214
478,36.8,144.0,0.190
480,36.8,143.8,0.150
482,36.8,144.6,0.159
484,36.7,144.9,0.169
486,36.6,145.3,0.125
488,36.5,145.5,0.136
490,36.1,144.8,0.169
492,36.3,145.9,0.146
494,36.4,146.3,0.075

