Diameter,Percent_Finer
11.9966,81.1705
12.0975,81.4249
12.2572,81.6794
12.3166,81.9338
12.3560,82.1883
12.4345,82.4427
12.4540,82.6972
12.6285,82.9517
12.7434,83.2061
12.8385,83.4606
12.8952,83.7150
13.1194,83.9695
13.2852,84.2239
13.2852,84.4784
13.4849,84.7328
13.7527,84.9873
14.1878,85.2417
14.3411,85.4962
14.4256,85.7506
14.7424,86.0051
14.7588,86.2595
15.0686,86.5140
15.5607,86.7684
15.6852,87.0229
16.1284,87.2774
16.2485,87.5318
16.2784,87.7863
16.3082,88.0407
16.3231,88.2952
16.4123,88.5496
16.7059,88.8041
17.2218,89.0585
17.2782,89.3130
17.2782,89.5674
17.5018,89.8219
17.7090,90.0763
17.8729,90.3308
18.2232,90.5852
18.6060,90.8397
18.6973,91.0941
19.1976,91.3486
19.2230,91.6031
19.2609,91.8575
19.4243,92.1120
20.4961,92.3664
20.7202,92.6209
21.3216,92.8753
21.7617,93.1298
22.5193,93.3842
22.8090,93.6387
24.0641,93.8931
24.1145,94.1476
24.6825,94.4020
25.4105,94.6565
26.7436,94.9109
27.9873,95.1654
30.9490,95.4198
31.9462,95.6743
32.7578,95.9288
34.4506,96.1832
37.0877,96.4377
37.7311,96.6921
38.2303,96.9466
38.7859,97.2010
39.0420,97.4555
39.2717,97.7099
39.3212,97.9644
39.6966,98.2188
39.9773,98.4733
40.3947,98.7277
42.2595,98.9822
51.0691,99.2366
55.6698,99.4911
59.6947,99.7455
60.0277,100.0000
